date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:45:39	731/731	---M--	200	added ('OK')	application/javascript	etag:%2251a1f0d-2db-527183ab21140%22	https://www.lac-info.com/js/vendor/smart.resize.js	C:/xampp/htdocs/long/long/www.lac-info.com/js/vendor/smart.resize.js	(from https://www.lac-info.com/)
15:45:40	54355/54355	---M--	200	added ('OK')	application/javascript	etag:%2251a1efe-d453-527183a474180%22	https://www.lac-info.com/js/vendor/jquery.jplayer.min.js	C:/xampp/htdocs/long/long/www.lac-info.com/js/vendor/jquery.jplayer.min.js	(from https://www.lac-info.com/)
15:45:41	16288/16288	---M--	200	added ('OK')	application/javascript	etag:%2251a1f03-3fa0-527183a750840%22	https://www.lac-info.com/js/vendor/jquery.superscrollorama.js	C:/xampp/htdocs/long/long/www.lac-info.com/js/vendor/jquery.superscrollorama.js	(from https://www.lac-info.com/)
15:45:42	99366/99366	---M--	200	added ('OK')	application/javascript	etag:%2251a1ef8-18426-527183ac15380%22	https://www.lac-info.com/js/vendor/TweenMax.min.js	C:/xampp/htdocs/long/long/www.lac-info.com/js/vendor/TweenMax.min.js	(from https://www.lac-info.com/)
15:45:42	2533/2533	---M--	200	added ('OK')	application/javascript	etag:%2251a1ef7-9e5-527183ab21140%22	https://www.lac-info.com/js/vendor/ScrollToPlugin.min.js	C:/xampp/htdocs/long/long/www.lac-info.com/js/vendor/ScrollToPlugin.min.js	(from https://www.lac-info.com/)
15:45:43	14260/14260	---M--	200	added ('OK')	application/javascript	etag:%2251a1f07-37b4-527183a938cc0%22	https://www.lac-info.com/js/vendor/jscrollpane.min.js	C:/xampp/htdocs/long/long/www.lac-info.com/js/vendor/jscrollpane.min.js	(from https://www.lac-info.com/)
15:45:44	2100/2100	---M--	200	added ('OK')	application/javascript	etag:%2251a1efa-834-527183a37ff40%22	https://www.lac-info.com/js/vendor/foundation.equalizer.js	C:/xampp/htdocs/long/long/www.lac-info.com/js/vendor/foundation.equalizer.js	(from https://www.lac-info.com/)
15:45:45	18425/18425	---M--	200	added ('OK')	application/javascript	etag:%2251a1efb-47f9-527183a37ff40%22	https://www.lac-info.com/js/vendor/foundation.js	C:/xampp/htdocs/long/long/www.lac-info.com/js/vendor/foundation.js	(from https://www.lac-info.com/)
15:45:47	6605/6605	---M--	200	added ('OK')	application/javascript	etag:%2251a1efc-19cd-527183a37ff40%22	https://www.lac-info.com/js/vendor/jquery.color.min.js	C:/xampp/htdocs/long/long/www.lac-info.com/js/vendor/jquery.color.min.js	(from https://www.lac-info.com/)
15:45:49	79152/79152	---M--	200	added ('OK')	application/javascript	etag:%2251a1f0b-13530-527183ab21140%22	https://www.lac-info.com/js/vendor/owl.carousel.js	C:/xampp/htdocs/long/long/www.lac-info.com/js/vendor/owl.carousel.js	(from https://www.lac-info.com/)
15:45:53	40547/40547	---M--	200	added ('OK')	application/javascript	etag:%2251a1eff-9e63-527183a5683c0%22	https://www.lac-info.com/js/vendor/jquery.mCustomScrollbar.concat.min.js	C:/xampp/htdocs/long/long/www.lac-info.com/js/vendor/jquery.mCustomScrollbar.concat.min.js	(from https://www.lac-info.com/)
15:45:53	7825/7825	---M--	200	added ('OK')	application/javascript	etag:%2251a1ef5-1e91-527183adfd800%22	https://www.lac-info.com/js/plugins.js	C:/xampp/htdocs/long/long/www.lac-info.com/js/plugins.js	(from https://www.lac-info.com/)
15:45:54	25159/25159	---M--	200	added ('OK')	application/javascript	etag:%2251a04f7-6247-534ed492af9c0%22	https://www.lac-info.com/js/main.js	C:/xampp/htdocs/long/long/www.lac-info.com/js/main.js	(from https://www.lac-info.com/)
15:45:55	1917/1917	---M--	200	added ('OK')	application/javascript	etag:%2251a1ef1-77d-527183adfd800%22	https://www.lac-info.com/js/animation.js	C:/xampp/htdocs/long/long/www.lac-info.com/js/animation.js	(from https://www.lac-info.com/)
15:45:56	17498/17498	---M--	200	added ('OK')	application/javascript	etag:%2251a0501-445a-533c00cadafc0%22	https://www.lac-info.com/js/tracking.js	C:/xampp/htdocs/long/long/www.lac-info.com/js/tracking.js	(from https://www.lac-info.com/)
15:45:58	33590/33590	---M--	200	added ('OK')	application/x-font-woff	etag:%2251a1db9-8336-52665b1e9df80%22	https://www.lac-info.com/fonts/Helvetica.Neue-Regular.woff	C:/xampp/htdocs/long/long/www.lac-info.com/fonts/Helvetica.Neue-Regular.woff	(from https://www.lac-info.com/css/main.css)
15:45:59	62356/62356	---M--	200	added ('OK')	font/truetype	etag:%2251a1db8-f394-52665b1e9df80%22	https://www.lac-info.com/fonts/Helvetica.Neue-Regular.ttf	C:/xampp/htdocs/long/long/www.lac-info.com/fonts/Helvetica.Neue-Regular.ttf	(from https://www.lac-info.com/css/main.css)
15:46:02	33012/33012	---M--	200	added ('OK')	application/x-font-woff	etag:%2251a1db6-80f4-52665b1da9d40%22	https://www.lac-info.com/fonts/Helvetica.Neue-Medium.woff	C:/xampp/htdocs/long/long/www.lac-info.com/fonts/Helvetica.Neue-Medium.woff	(from https://www.lac-info.com/css/main.css)
15:46:03	55104/55104	---M--	200	added ('OK')	font/truetype	etag:%2251a1db1-d740-52665b1da9d40%22	https://www.lac-info.com/fonts/Helvetica.Neue-Medium.ttf	C:/xampp/htdocs/long/long/www.lac-info.com/fonts/Helvetica.Neue-Medium.ttf	(from https://www.lac-info.com/css/main.css)
15:46:04	130906/130906	---M--	200	added ('OK')	image/svg+xml	etag:%2251a1db0-1ff5a-524a4a2caf600%22	https://www.lac-info.com/fonts/Helvetica.Neue-Medium.svg	C:/xampp/htdocs/long/long/www.lac-info.com/fonts/Helvetica.Neue-Medium.svg	(from https://www.lac-info.com/css/main.css)
15:46:04	32989/32989	---M--	200	added ('OK')	application/x-font-woff	etag:%2251a1da6-80dd-52665b1cb5b00%22	https://www.lac-info.com/fonts/Helvetica.Neue-Bold.woff	C:/xampp/htdocs/long/long/www.lac-info.com/fonts/Helvetica.Neue-Bold.woff	(from https://www.lac-info.com/css/main.css)
15:46:07	136913/136913	---M--	200	added ('OK')	image/svg+xml	etag:%2251a1db7-216d1-524a4a2caf600%22	https://www.lac-info.com/fonts/Helvetica.Neue-Regular.svg	C:/xampp/htdocs/long/long/www.lac-info.com/fonts/Helvetica.Neue-Regular.svg	(from https://www.lac-info.com/css/main.css)
15:46:07	133423/133423	---M--	200	added ('OK')	image/svg+xml	etag:%2251a1d75-2092f-524a4a2caf600%22	https://www.lac-info.com/fonts/Helvetica.Neue-Bold.svg	C:/xampp/htdocs/long/long/www.lac-info.com/fonts/Helvetica.Neue-Bold.svg	(from https://www.lac-info.com/css/main.css)
15:46:09	32967/32967	---M--	200	added ('OK')	application/x-font-woff	etag:%2251a1da9-80c7-52665b1cb5b00%22	https://www.lac-info.com/fonts/Helvetica.Neue-Light.woff	C:/xampp/htdocs/long/long/www.lac-info.com/fonts/Helvetica.Neue-Light.woff	(from https://www.lac-info.com/css/main.css)
15:46:10	68564/68564	---M--	200	added ('OK')	font/truetype	etag:%2251a1da0-10bd4-52665b1cb5b00%22	https://www.lac-info.com/fonts/Helvetica.Neue-Bold.ttf	C:/xampp/htdocs/long/long/www.lac-info.com/fonts/Helvetica.Neue-Bold.ttf	(from https://www.lac-info.com/css/main.css)
15:46:12	31920/31920	---M--	200	added ('OK')	application/x-font-woff	etag:%2251a1dbd-7cb0-52665b1f921c0%22	https://www.lac-info.com/fonts/Patrick.Hand-Regular.woff	C:/xampp/htdocs/long/long/www.lac-info.com/fonts/Patrick.Hand-Regular.woff	(from https://www.lac-info.com/css/main.css)
15:46:12	137216/137216	---M--	200	added ('OK')	image/svg+xml	etag:%2251a1da7-21800-524a4a2caf600%22	https://www.lac-info.com/fonts/Helvetica.Neue-Light.svg	C:/xampp/htdocs/long/long/www.lac-info.com/fonts/Helvetica.Neue-Light.svg	(from https://www.lac-info.com/css/main.css)
15:46:13	68940/68940	---M--	200	added ('OK')	font/truetype	etag:%2251a1da8-10d4c-52665b1cb5b00%22	https://www.lac-info.com/fonts/Helvetica.Neue-Light.ttf	C:/xampp/htdocs/long/long/www.lac-info.com/fonts/Helvetica.Neue-Light.ttf	(from https://www.lac-info.com/css/main.css)
15:46:14	92295/92295	---M--	200	added ('OK')	image/svg+xml	etag:%2251a1dbb-16887-52665b1f921c0%22	https://www.lac-info.com/fonts/Patrick.Hand-Regular.svg	C:/xampp/htdocs/long/long/www.lac-info.com/fonts/Patrick.Hand-Regular.svg	(from https://www.lac-info.com/css/main.css)
